cluster_id,size,medoid_lat,medoid_lng,braking_events,swerve_events,roughness_events,hazard_type,avg_x,avg_y,avg_z,max_x,max_y,max_z,peak_events,offpeak_events,morning_peak,evening_peak,weekday_events,weekend_events,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,street_name
24,46,53.23309044,-6.123665506,21,18,13,mixed_braking_swerve_roughness,42.32608696,31.80434783,37.63043478,70,55,78,21,25,8,13,33,13,6,4,0,6,9,2,11,4,4,0,0,0,Main Street
10,46,53.35446892,-6.278758796,0,46,0,swerve,18.02173913,48.76086957,15.17391304,33,67,23,34,12,34,0,42,4,8,0,0,0,9,12,5,12,0,0,0,0,Grangegorman Lower
99,45,53.2914108,-6.231729258,5,34,13,mixed_swerve_roughness,18.48888889,43.4,43.57777778,54,82,94,35,10,9,26,43,2,1,0,4,4,0,0,5,4,3,4,4,16,Birchfield Lawn
22,45,53.2855125,-6.1608513,30,13,7,mixed_braking_swerve,46.55555556,25.84444444,38.93333333,61,70,73,45,0,13,32,45,0,7,0,0,0,9,0,4,0,11,4,2,8,Abbey Road
26,44,53.28933301,-6.149500644,0,38,15,mixed_swerve_roughness,24.59090909,48.86363636,56.04545455,45,70,77,9,35,2,7,40,4,14,1,0,1,0,0,0,3,2,0,9,14,Mounttown Road Upper
70,44,53.28583887,-6.181126149,4,0,40,roughness,34.70454545,21.11363636,67.25,54,33,81,32,12,3,29,44,0,12,0,0,0,0,0,3,3,1,13,8,4,Carysfort Downs
29,43,53.28263715,-6.316123778,5,39,7,swerve,24.60465116,52.06976744,36.25581395,57,75,83,43,0,0,43,43,0,17,11,15,0,0,0,0,0,0,0,0,0,Knocklyon Road
104,43,53.3094374,-6.2407176,34,38,1,mixed_braking_swerve,54.48837209,55.55813953,12.60465116,79,87,65,43,0,0,43,43,0,0,0,0,0,0,0,0,0,0,43,0,0,Maple Road
100,43,53.2741429,-6.1940901,16,10,24,mixed_braking_roughness,36.86046512,27.02325581,59.37209302,62,58,94,28,15,12,16,32,11,1,3,0,0,0,0,4,8,6,16,4,1,Leopardstown Road
27,43,53.4029246,-6.4218351,6,39,4,swerve,22.58139535,53.1627907,48.48837209,53,80,70,43,0,40,3,43,0,17,0,0,26,0,0,0,0,0,0,0,0,"The Grove, Hunter's Run"
103,42,53.3090028,-6.196281,6,35,6,swerve,18.95238095,41.0952381,46.0,58,68,70,37,5,19,18,37,5,0,1,0,0,5,6,5,6,13,5,1,0,Rock Road
61,42,53.27220298,-6.21422357,10,27,8,swerve,24.73809524,41.5952381,47.45238095,64,79,78,12,30,2,10,42,0,0,0,0,0,0,0,31,0,10,1,0,0,Heather Road
76,41,53.28559516,-6.238252867,3,19,30,mixed_swerve_roughness,27.17073171,33.51219512,65.68292683,60,53,81,13,28,10,3,7,34,2,5,5,3,3,0,3,1,4,6,6,3,Wyckham Way
8,41,53.34808698,-6.274780038,26,15,0,mixed_braking_swerve,41.73170732,20.51219512,29.6097561,70,57,62,35,6,15,20,37,4,5,0,0,0,0,7,0,7,4,4,14,0,Church Street
109,40,53.2892676,-6.1956377,9,2,32,roughness,31.375,19.65,64.125,68,41,91,32,8,8,24,38,2,6,9,5,2,0,0,1,3,2,8,4,0,Kilmacud Road Lower
112,40,53.34199159,-6.236108922,18,1,27,mixed_braking_roughness,39.875,22.9,62.85,73,41,95,35,5,0,35,38,2,0,3,10,4,1,3,9,1,0,2,6,1,Barrow Street
114,35,53.35848673,-6.253351733,14,11,23,mixed_braking_swerve_roughness,42.94285714,37.68571429,65.14285714,82,62,81,35,0,2,33,35,0,0,1,0,0,1,9,8,9,2,4,0,1,Saint Margaret's Avenue
